Wert,Zeit,Datum
STANDBY,01:19:01,12-07-2022
CHARGING,21:24:35,08-09-2022
STANDBY,22:38:33,08-09-2022
CHARGING,14:40:35,09-09-2022
STANDBY,17:59:35,09-09-2022
NULL,23:50:52,30-09-2022
STANDBY,23:50:55,30-09-2022
CHARGING,18:05:13,05-10-2022
STANDBY,19:41:11,05-10-2022
<html><body>No service was found.</body></html>,23:59:19,05-10-2022
"<!doctype html><html><head><meta charset=""utf-8""><meta http-equiv=""Content-Security-Policy"" content=""default-src * 'self' 'unsafe-inline' 'unsafe-eval' data: gap: content: blob:; style-src 'self' 'unsafe-inline';""><meta name=""viewport"" content=""width=device-width,initial-scale=1,maximum-scale=1,minimum-scale=1,user-scalable=no,minimal-ui,viewport-fit=cover""><meta name=""theme-color"" content=""#e64a19""><meta name=""format-detection"" content=""telephone=no""><meta name=""msapplication-tap-highlight"" content=""no""><title>openHAB</title><meta name=""apple-mobile-web-app-capable"" content=""yes""><meta name=""apple-mobile-web-app-status-bar-style"" content=""black-translucent""><link rel=""apple-touch-icon"" href=""/res/icons/apple-touch-icon.png"" type=""image/png"" sizes=""180x180"" crossorigin=""use-credentials""><link rel=""icon"" href=""/res/icons/favicon.svg"" type=""image/svg+xml"" sizes=""any"" crossorigin=""use-credentials""><link rel=""icon"" href=""/res/icons/128x128.png"" type=""image/png"" sizes=""128x128"" crossorigin=""use-credentials""><link rel=""manifest"" href=""/manifest.json"" crossorigin=""use-credentials""><link href=""/css/app.css"" rel=""stylesheet""></head><body><div id=""app""></div><script src=""/js/app.js""></script></body></html>",23:59:29,05-10-2022
"HTTP ERROR 404 Not Found
URI: /rest/items/EVStation_modeStation/state
STATUS: 404
MESSAGE: Not Found
SERVLET: default
",23:59:52,05-10-2022
"HTTP ERROR 404 Not Found
URI: /rest/items/EVStation_modeStation/state
STATUS: 404
MESSAGE: Not Found
SERVLET: null
",23:59:57,05-10-2022
