Wert,Zeit,Datum
0 W,01:19:00,12-07-2022
2 W,01:19:10,12-07-2022
0 W,01:19:29,12-07-2022
39 W,01:22:08,12-07-2022
0 W,01:22:27,12-07-2022
18 W,01:26:09,12-07-2022
17 W,01:26:28,12-07-2022
0 W,01:26:41,12-07-2022
9 W,01:26:53,12-07-2022
0 W,01:27:09,12-07-2022
1 W,01:27:56,12-07-2022
0 W,01:28:11,12-07-2022
4 W,01:28:55,12-07-2022
0 W,01:29:11,12-07-2022
18 W,01:29:26,12-07-2022
1 W,01:29:39,12-07-2022
0 W,01:29:55,12-07-2022
15 W,01:30:29,12-07-2022
0 W,01:30:38,12-07-2022
6 W,01:36:41,12-07-2022
0 W,01:36:53,12-07-2022
17 W,01:42:27,12-07-2022
6 W,01:42:39,12-07-2022
0 W,01:42:55,12-07-2022
24 W,01:50:40,12-07-2022
0 W,01:50:53,12-07-2022
1 W,01:54:41,12-07-2022
4 W,01:54:53,12-07-2022
0 W,01:55:27,12-07-2022
1 W,01:55:40,12-07-2022
0 W,01:55:56,12-07-2022
2 W,02:00:09,12-07-2022
0 W,02:00:27,12-07-2022
2 W,02:00:55,12-07-2022
0 W,02:01:11,12-07-2022
5 W,02:01:27,12-07-2022
0 W,02:01:39,12-07-2022
13 W,02:02:54,12-07-2022
0 W,02:03:10,12-07-2022
1 W,02:25:39,12-07-2022
0 W,02:25:54,12-07-2022
4 W,02:26:10,12-07-2022
0 W,02:26:26,12-07-2022
8 W,02:27:41,12-07-2022
3 W,02:27:53,12-07-2022
0 W,02:28:09,12-07-2022
3 W,02:35:54,12-07-2022
0 W,02:36:10,12-07-2022
3 W,02:38:40,12-07-2022
2 W,02:38:55,12-07-2022
4 W,02:39:11,12-07-2022
0 W,02:39:27,12-07-2022
3 W,02:45:10,12-07-2022
1 W,02:45:29,12-07-2022
0 W,02:45:54,12-07-2022
5 W,03:12:11,12-07-2022
0 W,03:12:26,12-07-2022
1 W,03:16:55,12-07-2022
2 W,03:17:10,12-07-2022
0 W,03:17:26,12-07-2022
179 W,03:23:09,12-07-2022
0 W,03:23:28,12-07-2022
1 W,03:34:55,12-07-2022
0 W,03:35:11,12-07-2022
2 W,03:41:38,12-07-2022
0 W,03:41:54,12-07-2022
5 W,03:47:40,12-07-2022
3 W,03:47:53,12-07-2022
0 W,03:48:09,12-07-2022
5 W,03:54:26,12-07-2022
0 W,03:54:42,12-07-2022
2 W,03:59:54,12-07-2022
0 W,04:00:29,12-07-2022
2 W,04:06:40,12-07-2022
1 W,04:06:56,12-07-2022
0 W,04:07:11,12-07-2022
6 W,04:12:55,12-07-2022
4 W,04:13:10,12-07-2022
2 W,04:13:26,12-07-2022
0 W,04:13:38,12-07-2022
5 W,04:25:09,12-07-2022
0 W,04:25:27,12-07-2022
