Wert,Zeit,Datum
0 W,01:19:00,12-07-2022
6.024800000000141 W,01:25:19,12-07-2022
0 W,01:25:35,12-07-2022
74.29559999999992 W,01:36:06,12-07-2022
0 W,01:36:22,12-07-2022
306 W,01:37:53,12-07-2022
0 W,01:38:08,12-07-2022
64.98339999999939 W,01:41:37,12-07-2022
0 W,01:42:08,12-07-2022
30.39548000000002 W,01:42:20,12-07-2022
59.27179999999953 W,01:42:33,12-07-2022
22.350549999999657 W,01:42:52,12-07-2022
0 W,01:43:07,12-07-2022
720 W,01:44:19,12-07-2022
0 W,01:44:35,12-07-2022
280 W,01:54:34,12-07-2022
0 W,01:54:53,12-07-2022
181.92390000000046 W,02:26:51,12-07-2022
0 W,02:27:03,12-07-2022
54.159700000000385 W,02:27:53,12-07-2022
13.202750000000378 W,02:28:06,12-07-2022
0 W,02:28:18,12-07-2022
216 W,02:38:05,12-07-2022
0 W,02:38:18,12-07-2022
327 W,02:41:07,12-07-2022
0 W,02:41:19,12-07-2022
314.29245999999966 W,02:54:20,12-07-2022
0 W,02:54:35,12-07-2022
1.6939049999998588 W,02:57:05,12-07-2022
0 W,02:57:18,12-07-2022
1437 W,02:57:52,12-07-2022
0 W,02:58:08,12-07-2022
25.45279999999957 W,03:03:08,12-07-2022
0 W,03:03:20,12-07-2022
1388 W,03:04:19,12-07-2022
0 W,03:04:38,12-07-2022
8.125 W,03:07:52,12-07-2022
0 W,03:08:07,12-07-2022
83.5705999999991 W,03:14:06,12-07-2022
0 W,03:14:19,12-07-2022
130.1953125 W,03:15:09,12-07-2022
0 W,03:15:21,12-07-2022
563 W,03:28:19,12-07-2022
0 W,03:28:34,12-07-2022
370 W,03:56:34,12-07-2022
0 W,03:56:38,12-07-2022
369 W,04:04:51,12-07-2022
0 W,04:05:06,12-07-2022
366 W,04:08:20,12-07-2022
0.7019999999999982 W,04:08:36,12-07-2022
0 W,04:08:51,12-07-2022
335 W,04:17:51,12-07-2022
0 W,04:18:07,12-07-2022
22.662000000000035 W,04:28:07,12-07-2022
28 W,04:28:19,12-07-2022
0 W,04:28:35,12-07-2022
4 W,05:34:36,12-07-2022
0 W,05:35:07,12-07-2022
6 W,05:35:38,12-07-2022
0 W,05:35:51,12-07-2022
1 W,05:37:52,12-07-2022
5 W,05:38:08,12-07-2022
3 W,05:38:20,12-07-2022
2 W,05:38:52,12-07-2022
0 W,05:39:07,12-07-2022
1 W,05:39:20,12-07-2022
0 W,05:39:35,12-07-2022
9 W,05:41:06,12-07-2022
10 W,05:41:18,12-07-2022
3 W,05:41:34,12-07-2022
0 W,05:42:33,12-07-2022
3 W,05:42:52,12-07-2022
1 W,05:43:20,12-07-2022
0 W,05:43:36,12-07-2022
3 W,05:44:07,12-07-2022
4 W,05:44:23,12-07-2022
5 W,05:44:35,12-07-2022
1 W,05:44:51,12-07-2022
3 W,05:45:06,12-07-2022
5 W,05:45:19,12-07-2022
